id,faixa_etaria,sexo,estado,cidade,bairro,tempo_desaparecido_dias,cor_olhos,tipo_cabelo,estava_acompanhada,estado_civil,cidade_desaparecimento,data_ocorrido_desaparecimento,encontrado
250,45-59,Masculino,RJ,Rio de Janeiro,CENTRO,2813.0,Castanhos,Lisos,Não,Casado (a),Aparecida,2017-11-20T18:00:00.000+0000,0
251,18-29,Masculino,PB,São Francisco,Zona Rural,1856.0,Pretos,Lisos,Sim,Solteiro (a),São Francisco,2020-07-03T22:00:00.000+0000,0
252,45-59,Masculino,PB,Cajazeiras,Mandacaru,667.0,Castanhos,Nenhuma das opções,Não,Solteiro (a),João Pessoa,2023-10-06T16:59:00.000+0000,0
253,30-44,Masculino,CE,Parambu,Cidades,-1.0,Castanhos,Lisos,Sim,Solteiro (a),Desconhecido,Desconhecido,0
254,30-44,Masculino,PB,Patos,Jatobá,1429.0,Castanhos,Lisos,Não,Solteiro (a),Patos,2021-09-04T06:30:00.000+0000,0
255,0-11,Feminino,PB,Campina Grande,Alto Branco,710.0,Castanhos,Carapinha,Não,Solteiro (a),Campina Grande,2023-08-24T15:00:00.000+0000,0
256,18-29,Masculino,PB,Campina Grande,Tambor,2528.0,Duas Cores,Lisos,Não,Solteiro (a),Campina Grande,2018-09-01T17:00:00.000+0000,0
257,18-29,Masculino,PE,Camutanga,IBIRANGA,-1.0,Pretos,Encaracolados,Não,Solteiro (a),Desconhecido,Desconhecido,0
258,30-44,Masculino,PE,Itambé,Zona Rural,934.0,Castanhos,Ondulados,Não,Casado (a),Pedras de Fogo,2023-01-12T02:00:00.000+0000,0
259,12-17,Feminino,PB,Campina Grande,CENTRO,2361.0,Pretos,Encaracolados,Não,Solteiro (a),Itatuba,2019-02-15T19:30:00.000+0000,0
260,60+,Masculino,PB,Tacima,Centro,7191.0,Castanhos,Ondulados,Não,Casado (a),Santa Rita,2005-11-25T12:00:00.000+0000,0
261,0-11,Masculino,PB,Campina Grande,Centro,1010.0,Castanhos,Lisos,Sim,Solteiro (a),Lagoa Seca,2022-10-27T20:10:00.000+0000,0
262,30-44,Feminino,PB,Juru,Gramame,1398.0,Castanhos,Ondulados,Sim,Casado (a),João Pessoa,2021-10-04T20:00:00.000+0000,0
